backend,threads,run,time
serial,1,1,1.273219
serial,1,2,1.272697
serial,1,3,1.272149
serial,1,4,1.272228
serial,1,5,1.272813
avx2,1,1,0.638585
avx2,1,2,0.638436
avx2,1,3,0.644877
avx2,1,4,0.638802
avx2,1,5,0.640650
pthread,2,1,0.645445
pthread,2,2,0.640957
pthread,2,3,0.649509
pthread,2,4,0.640603
pthread,2,5,0.641061
pthread,4,1,0.337225
pthread,4,2,0.361447
pthread,4,3,0.359223
pthread,4,4,0.355892
pthread,4,5,0.358292
pthread,8,1,0.178555
pthread,8,2,0.189102
pthread,8,3,0.174652
pthread,8,4,0.179981
pthread,8,5,0.188049
pthread,16,1,0.088321
pthread,16,2,0.088592
pthread,16,3,0.089002
pthread,16,4,0.088970
pthread,16,5,0.089187
pthread-avx2,2,1,0.320400
pthread-avx2,2,2,0.320148
pthread-avx2,2,3,0.320366
pthread-avx2,2,4,0.320371
pthread-avx2,2,5,0.320385
pthread-avx2,4,1,0.160525
pthread-avx2,4,2,0.160600
pthread-avx2,4,3,0.161280
pthread-avx2,4,4,0.161028
pthread-avx2,4,5,0.160703
pthread-avx2,8,1,0.081214
pthread-avx2,8,2,0.080750
pthread-avx2,8,3,0.081155
pthread-avx2,8,4,0.080464
pthread-avx2,8,5,0.081000
pthread-avx2,16,1,0.047201
pthread-avx2,16,2,0.048009
pthread-avx2,16,3,0.047546
pthread-avx2,16,4,0.047861
pthread-avx2,16,5,0.050317
