backend,threads,tile_size,run,time_seconds
pthread-avx2,16,4,1,0.054531
pthread-avx2,16,4,2,0.057734
pthread-avx2,16,4,3,0.057773
pthread-avx2,16,4,4,0.058328
pthread-avx2,16,4,5,0.059658
pthread-avx2,16,8,1,0.056175
pthread-avx2,16,8,2,0.054192
pthread-avx2,16,8,3,0.055257
pthread-avx2,16,8,4,0.053534
pthread-avx2,16,8,5,0.055737
pthread-avx2,16,16,1,0.053108
pthread-avx2,16,16,2,0.054804
pthread-avx2,16,16,3,0.052715
pthread-avx2,16,16,4,0.057045
pthread-avx2,16,16,5,0.057910
pthread-avx2,16,32,1,0.055862
pthread-avx2,16,32,2,0.054419
pthread-avx2,16,32,3,0.054842
pthread-avx2,16,32,4,0.053501
pthread-avx2,16,32,5,0.053598
pthread-avx2,16,64,1,0.057557
pthread-avx2,16,64,2,0.055988
pthread-avx2,16,64,3,0.058586
pthread-avx2,16,64,4,0.055088
pthread-avx2,16,64,5,0.058664
pthread-avx2,16,128,1,0.085129
pthread-avx2,16,128,2,0.077552
pthread-avx2,16,128,3,0.075556
pthread-avx2,16,128,4,0.076803
pthread-avx2,16,128,5,0.085851
pthread-avx2,16,256,1,0.133471
pthread-avx2,16,256,2,0.134368
pthread-avx2,16,256,3,0.134177
pthread-avx2,16,256,4,0.134079
pthread-avx2,16,256,5,0.129284
pthread-avx2,16,512,1,0.217095
pthread-avx2,16,512,2,0.216383
pthread-avx2,16,512,3,0.216536
pthread-avx2,16,512,4,0.213681
pthread-avx2,16,512,5,0.213632
